Company,InvoiceDate,Year,Region,Country,CustomerID,InvoiceID,OrderID,ProductCategory,ProductID,SKU,Quantity,UnitPrice,UnitCost,DiscountPct,Revenue,Cost,Profit,TaxRate,TaxAmount,ShippingCost,ShipmentDelayDays,PaymentMethod,PaymentStatus,ReturnFlag,ReturnReason,CustomerSatisfaction,LoyaltyTier,ProfitMarginPct,DaysToPayEstimate
BetaWorks,2024-11-06,2024,East,USA,CUST00506,BET-100826,TJABWHM24N,Office Supplies,PID-9397-905,SKU-708074,3,10.46,6.29,0.0,31.38,18.87,12.51,0.18,5.65,16.0,2,PayPal,Paid,0,,6.7,Gold,39.87,5
BetaWorks,2022-11-12,2022,North,USA,CUST01179,BET-101115,JE8NFRAOTW,Furniture,PID-6997-622,SKU-387173,3,332.48,164.91,0.0,997.44,494.73,502.71,0.18,179.54,10.15,8,Cash,Pending,0,,10.0,Bronze,50.4,52
BetaWorks,2022-06-05,2022,South,USA,CUST00423,BET-100481,JKJ7OPJQBT,Electronics,PID-2740-397,SKU-927094,3,177.84,106.19,0.0,533.52,318.57,214.95,0.18,96.03,3.89,6,Credit Card,Paid,0,,9.7,Bronze,40.29,28
BetaWorks,2020-03-03,2020,Central,USA,CUST00591,BET-100086,7IAZGQ095E,Consumables,PID-9689-297,SKU-956288,5,5.92,2.88,0.1,26.64,14.4,12.24,0.18,4.8,9.91,8,Invoice,Pending,0,,7.0,Bronze,45.95,87
BetaWorks,2021-07-04,2021,Central,USA,CUST01125,BET-100957,7F1UP4PHFA,Software,PID-8128-762,SKU-565356,4,134.2,69.41,0.3,375.76,277.64,98.12,0.18,67.64,2.95,6,Credit Card,Paid,0,,7.5,Bronze,26.11,20
BetaWorks,2020-09-11,2020,International,UK,CUST01016,BET-101140,74R21F9LQ6,Office Supplies,PID-9397-739,SKU-837296,5,9.91,6.59,0.0,49.55,32.95,16.6,0.18,8.92,22.26,-1,Invoice,Overdue,0,,,Silver,33.5,33
BetaWorks,2021-12-10,2021,South,USA,CUST01411,BET-100065,1QNQVIEXGO,Consumables,PID-9689-150,SKU-753557,3,2.15,1.0,0.0,6.45,3.0,3.45,0.18,1.16,4.22,12,Bank Transfer,Paid,0,,5.8,Silver,53.49,11
BetaWorks,2021-08-13,2021,North,USA,CUST00938,BET-100026,T3LJOKBZVY,Services,PID-8674-780,SKU-345804,5,325.83,195.91,0.0,1629.15,979.55,649.6,0.18,293.25,20.27,-2,Credit Card,Paid,0,,8.7,Bronze,39.87,13
BetaWorks,2019-03-19,2019,Central,USA,CUST01190,BET-101180,FKPLPCGBQL,Accessories,PID-5585-181,SKU-193508,5,30.41,15.35,0.1,136.85,76.75,60.1,0.18,24.63,17.18,2,Invoice,Paid,0,,4.6,Gold,43.92,1
BetaWorks,2024-04-03,2024,East,USA,CUST00315,BET-100099,IUPQKPNN8X,Software,PID-8128-168,SKU-638428,6,146.22,92.49,0.1,789.59,554.94,234.65,0.18,142.13,1.26,0,Credit Card,Paid,0,,5.1,Bronze,29.72,1
BetaWorks,2021-01-24,2021,International,UK,CUST00289,BET-100175,GKABCZLZM7,Software,PID-8128-507,SKU-729515,4,116.1,85.3,0.0,464.4,341.2,123.2,0.18,83.59,12.29,9,Cash,Paid,0,,7.6,Silver,26.53,2
BetaWorks,2022-01-11,2022,South,USA,CUST00473,BET-100363,31WCGV6LRL,Furniture,PID-6997-729,SKU-337723,3,430.94,322.39,0.0,1292.82,967.17,325.65,0.18,232.71,9.25,0,Cash,Paid,0,,5.6,Bronze,25.19,17
BetaWorks,2019-12-28,2019,North,USA,CUST00245,BET-100156,4QWL67C7HP,Accessories,PID-5585-969,SKU-634853,4,49.26,32.49,0.05,187.19,129.96,57.23,0.18,33.69,1.78,6,Bank Transfer,Paid,0,,6.2,Silver,30.57,17
BetaWorks,2019-08-25,2019,East,USA,CUST01209,BET-100434,S0BU74URWI,Consumables,PID-9689-622,SKU-601544,3,6.71,4.97,0.1,18.12,14.91,3.21,0.18,3.26,0.0,4,Credit Card,Overdue,0,,7.7,Bronze,17.72,88
BetaWorks,2021-05-25,2021,East,USA,CUST00467,BET-100793,92PV07UJ4F,Electronics,PID-2740-578,SKU-123416,3,324.34,187.94,0.0,973.02,563.82,409.2,0.18,175.14,7.18,4,Invoice,Paid,0,,7.3,Bronze,42.05,21
BetaWorks,2019-04-08,2019,South,USA,CUST00798,BET-100461,AY22D1B3PO,Automotive,PID-9817-966,SKU-713857,2,1216.58,926.66,0.0,2433.16,1853.32,579.84,0.18,437.97,18.52,-2,Credit Card,Paid,0,,7.8,Bronze,23.83,11
BetaWorks,2024-09-19,2024,West,USA,CUST00175,BET-101062,VRJO59VRYR,Electronics,PID-2740-912,SKU-985715,4,306.46,246.8,0.0,1225.84,987.2,238.64,0.18,220.65,13.3,5,Invoice,Pending,0,,5.3,Silver,19.47,68
BetaWorks,2023-08-24,2023,International,IN,CUST00070,BET-100080,OKR7PHNI2M,Healthcare,PID-7674-420,SKU-277697,3,93.59,73.66,0.0,280.77,220.98,59.79,0.18,50.54,22.39,-2,PayPal,Pending,0,,5.8,Bronze,21.3,113
BetaWorks,2019-08-11,2019,International,UK,CUST01181,BET-101225,G1MVJKQ5O0,Healthcare,PID-7674-646,SKU-665706,5,93.54,45.92,0.0,467.7,229.6,238.1,0.18,84.19,25.76,3,Credit Card,Paid,0,,4.8,Bronze,50.91,22
BetaWorks,2021-01-29,2021,East,USA,CUST00582,BET-101111,YSWV20K9JX,Hardware,PID-3240-959,SKU-701208,2,129.98,103.18,0.0,259.96,206.36,53.6,0.18,46.79,7.34,7,Cash,Paid,0,,7.7,Bronze,20.62,12
BetaWorks,2023-07-17,2023,East,USA,CUST00231,BET-100354,HVQ9XD8XQ4,Software,PID-8128-884,SKU-401713,6,87.46,58.01,0.0,524.76,348.06,176.7,0.18,94.46,17.41,1,Cash,Paid,0,,4.8,Bronze,33.67,2
BetaWorks,2021-01-08,2021,North,USA,CUST01285,BET-100876,IDFCH3O1HC,Electronics,PID-2740-886,SKU-105107,5,278.24,145.35,0.0,1391.2,726.75,664.45,0.18,250.42,12.28,-2,Bank Transfer,Paid,0,,3.5,Silver,47.76,7
BetaWorks,2023-12-22,2023,International,DE,CUST00006,BET-100102,O4H86DD372,Software,PID-8128-192,SKU-591508,7,98.18,68.6,0.15,584.17,480.2,103.97,0.18,105.15,3.46,6,PayPal,Paid,0,,8.9,Bronze,17.8,9
BetaWorks,2023-08-22,2023,South,USA,CUST01017,BET-100576,88NV6YYX01,Office Supplies,PID-9397-861,SKU-941924,3,8.37,4.88,0.0,25.11,14.64,10.47,0.18,4.52,7.35,-2,Bank Transfer,Paid,0,,8.7,Gold,41.7,0
BetaWorks,2022-11-10,2022,International,DE,CUST01225,BET-100357,3NSXOF6T6W,Services,PID-8674-220,SKU-914423,1,3866.88,244.84,0.15,3286.85,244.84,3042.01,0.18,591.63,14.99,9,Cash,Overdue,0,,8.4,Bronze,92.55,54
BetaWorks,2021-07-30,2021,West,USA,CUST00810,BET-100523,1YQT061ATM,Services,PID-8674-885,SKU-192697,3,358.44,176.21,0.0,1075.32,528.63,546.69,0.18,193.56,6.5,5,Invoice,Overdue,0,,3.5,Bronze,50.84,39
BetaWorks,2022-12-17,2022,Central,USA,CUST01275,BET-101056,YUZTW32ATX,Accessories,PID-5585-123,SKU-927320,4,49.8,36.39,0.0,199.2,145.56,53.64,0.18,35.86,21.74,9,PayPal,Paid,0,,8.8,Bronze,26.93,23
BetaWorks,2024-08-23,2024,South,USA,CUST00581,BET-100525,YPJAWUHJ1L,Hardware,PID-3240-551,SKU-872420,3,193.21,101.31,0.0,579.63,303.93,275.7,0.18,104.33,10.87,6,Credit Card,Paid,0,,5.3,Silver,47.56,6
